,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
2015.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,489.0,1620.0,23.0,54.0,34.0,456.0,358.0,830.0,17.0,435.0,456.0,234.0,89.0,2016.0
2016.0,1389.0,19.0,102.0,2158.0,41.0,184.0,489.0,15.0,102.0,460.0,11.0,109.0,256.0,7.0,43.0,4752.0,93.0,540.0,5385.0,231.0,652.0,19.0,456.0,768.0,783.0,102.0,246.0,12.0,5435.0,546.0,546.0,456.0,2158.0
2017.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,2016.0
2018.0,1923.0,54.0,198.0,2158.0,49.0,270.0,589.0,21.0,145.0,501.0,16.0,133.0,365.0,9.0,78.0,5536.0,149.0,824.0,6509.0,200.0,996.0,9726.0,1923.0,54.0,198.0,120.0,251.0,1308.0,12214.0,2689.0,86.0,221.0,2158.0
2019.0,1483.0,31.0,178.0,2269.0,60.0,231.0,652.0,19.0,124.0,489.0,14.0,126.0,230.0,5.0,57.0,5123.0,129.0,716.0,5968.0,358.0,830.0,17.0,879.0,345.0,658.0,489.0,1620.0,23.0,982.0,673.0,456.0,45.0,2269.0
2020.0,1335.0,12.0,156.0,2016.0,25.0,102.0,246.0,12.0,81.0,423.0,12.0,101.0,100.0,6.0,26.0,4120.0,67.0,466.0,4653.0,2158.0,41.0,184.0,1335.0,12.0,156.0,460.0,149.0,824.0,6509.0,1389.0,19.0,102.0,2016.0
2021.0,1643.0,29.0,174.0,2446.0,43.0,194.0,503.0,15.0,115.0,492.0,14.0,117.0,220.0,7.0,46.0,5305.0,109.0,646.0,6059.0,1103.0,641.0,105.0,867.0,311.0,491.0,356.0,700.0,275.0,3382.0,833.0,275.0,154.0,2446.0
2022.0,1624.0,28.0,173.0,2424.0,42.0,189.0,491.0,15.0,113.0,488.0,14.0,116.0,213.0,7.0,44.0,5240.0,107.0,635.0,5982.0,1146.0,628.0,-361.0,813.0,326.0,511.0,359.0,726.0,237.0,3067.0,769.0,287.0,150.0,2424.0
2023.0,1605.0,28.0,172.0,2402.0,41.0,183.0,478.0,15.0,111.0,484.0,14.0,115.0,205.0,7.0,43.0,5175.0,104.0,624.0,5904.0,1189.0,614.0,-827.0,759.0,341.0,531.0,361.0,752.0,200.0,2752.0,706.0,300.0,146.0,2402.0
2024.0,1586.0,27.0,171.0,2381.0,41.0,178.0,466.0,15.0,109.0,480.0,14.0,114.0,197.0,7.0,42.0,5110.0,102.0,614.0,5826.0,1233.0,601.0,-1293.0,705.0,356.0,551.0,364.0,778.0,162.0,2437.0,642.0,313.0,142.0,2381.0
2025.0,1567.0,26.0,170.0,2359.0,40.0,172.0,453.0,14.0,107.0,477.0,13.0,113.0,189.0,7.0,40.0,5045.0,100.0,603.0,5748.0,1276.0,588.0,-1760.0,652.0,371.0,570.0,366.0,804.0,124.0,2122.0,579.0,325.0,138.0,2359.0
2026.0,1548.0,25.0,169.0,2337.0,39.0,166.0,441.0,14.0,105.0,473.0,13.0,112.0,181.0,7.0,39.0,4979.0,98.0,593.0,5670.0,1319.0,575.0,-2226.0,598.0,387.0,590.0,369.0,830.0,87.0,1806.0,515.0,338.0,134.0,2337.0
2027.0,1529.0,24.0,169.0,2316.0,38.0,161.0,428.0,14.0,103.0,469.0,13.0,112.0,173.0,7.0,38.0,4914.0,96.0,582.0,5592.0,1362.0,561.0,-2692.0,544.0,402.0,610.0,371.0,855.0,49.0,1491.0,452.0,350.0,130.0,2316.0
2028.0,1510.0,23.0,168.0,2294.0,38.0,155.0,416.0,14.0,101.0,465.0,13.0,111.0,165.0,6.0,37.0,4849.0,93.0,571.0,5514.0,1405.0,548.0,-3158.0,490.0,417.0,630.0,374.0,881.0,11.0,1176.0,388.0,363.0,126.0,2294.0
2029.0,1490.0,22.0,167.0,2273.0,37.0,150.0,403.0,14.0,99.0,461.0,13.0,110.0,157.0,6.0,35.0,4784.0,91.0,561.0,5436.0,1448.0,535.0,-3625.0,436.0,432.0,650.0,376.0,907.0,-26.0,861.0,325.0,375.0,122.0,2273.0
2030.0,1471.0,21.0,166.0,2251.0,36.0,144.0,390.0,13.0,97.0,458.0,13.0,109.0,149.0,6.0,34.0,4719.0,89.0,550.0,5358.0,1491.0,521.0,-4091.0,383.0,447.0,670.0,379.0,933.0,-64.0,546.0,261.0,388.0,118.0,2251.0
2031.0,1452.0,20.0,165.0,2229.0,35.0,139.0,378.0,13.0,95.0,454.0,13.0,108.0,141.0,6.0,33.0,4654.0,87.0,539.0,5280.0,1535.0,508.0,-4557.0,329.0,462.0,689.0,381.0,959.0,-102.0,230.0,198.0,401.0,114.0,2229.0
2032.0,1433.0,19.0,164.0,2208.0,34.0,133.0,365.0,13.0,93.0,450.0,13.0,107.0,133.0,6.0,31.0,4589.0,85.0,529.0,5202.0,1578.0,495.0,-5023.0,275.0,477.0,709.0,383.0,985.0,-139.0,-85.0,134.0,413.0,110.0,2208.0
2033.0,1414.0,18.0,163.0,2186.0,34.0,128.0,353.0,13.0,91.0,446.0,12.0,106.0,125.0,6.0,30.0,4524.0,82.0,518.0,5124.0,1621.0,482.0,-5490.0,221.0,492.0,729.0,386.0,1011.0,-177.0,-400.0,71.0,426.0,106.0,2186.0
2034.0,1395.0,17.0,162.0,2164.0,33.0,122.0,340.0,13.0,89.0,442.0,12.0,106.0,117.0,6.0,29.0,4459.0,80.0,508.0,5047.0,1664.0,468.0,-5956.0,168.0,507.0,749.0,388.0,1036.0,-214.0,-715.0,7.0,438.0,102.0,2164.0
2035.0,1376.0,16.0,161.0,2143.0,32.0,116.0,328.0,12.0,87.0,438.0,12.0,105.0,109.0,6.0,28.0,4394.0,78.0,497.0,4969.0,1707.0,455.0,-6422.0,114.0,522.0,769.0,391.0,1062.0,-252.0,-1030.0,-56.0,451.0,98.0,2143.0
2036.0,1357.0,15.0,160.0,2121.0,31.0,111.0,315.0,12.0,85.0,435.0,12.0,104.0,101.0,5.0,26.0,4329.0,76.0,486.0,4891.0,1750.0,442.0,-6888.0,60.0,537.0,789.0,393.0,1088.0,-290.0,-1346.0,-120.0,463.0,94.0,2121.0
2037.0,1338.0,14.0,160.0,2100.0,30.0,105.0,303.0,12.0,83.0,431.0,12.0,103.0,93.0,5.0,25.0,4264.0,74.0,476.0,4813.0,1793.0,429.0,-7354.0,6.0,553.0,808.0,396.0,1114.0,-327.0,-1661.0,-183.0,476.0,90.0,2100.0
2038.0,1318.0,13.0,159.0,2078.0,30.0,100.0,290.0,12.0,81.0,427.0,12.0,102.0,85.0,5.0,24.0,4199.0,71.0,465.0,4735.0,1837.0,415.0,-7821.0,-48.0,568.0,828.0,398.0,1140.0,-365.0,-1976.0,-247.0,488.0,86.0,2078.0
2039.0,1299.0,12.0,158.0,2056.0,29.0,94.0,277.0,11.0,79.0,423.0,12.0,101.0,77.0,5.0,22.0,4134.0,69.0,454.0,4657.0,1880.0,402.0,-8287.0,-101.0,583.0,848.0,401.0,1166.0,-403.0,-2291.0,-310.0,501.0,82.0,2056.0
2040.0,1280.0,11.0,157.0,2035.0,28.0,89.0,265.0,11.0,77.0,419.0,12.0,100.0,69.0,5.0,21.0,4068.0,67.0,444.0,4579.0,1923.0,389.0,-8753.0,-155.0,598.0,868.0,403.0,1192.0,-440.0,-2606.0,-374.0,514.0,78.0,2035.0
2041.0,1261.0,10.0,156.0,2013.0,27.0,83.0,252.0,11.0,75.0,415.0,11.0,100.0,61.0,5.0,20.0,4003.0,65.0,433.0,4501.0,1966.0,376.0,-9219.0,-209.0,613.0,888.0,406.0,1218.0,-478.0,-2922.0,-438.0,526.0,74.0,2013.0
2042.0,1242.0,9.0,155.0,1991.0,27.0,77.0,240.0,11.0,73.0,412.0,11.0,99.0,53.0,5.0,19.0,3938.0,62.0,422.0,4423.0,2009.0,362.0,-9686.0,-263.0,628.0,908.0,408.0,1243.0,-515.0,-3237.0,-501.0,539.0,70.0,1991.0
2043.0,1223.0,8.0,154.0,1970.0,26.0,72.0,227.0,11.0,71.0,408.0,11.0,98.0,45.0,5.0,17.0,3873.0,60.0,412.0,4345.0,2052.0,349.0,-10152.0,-317.0,643.0,927.0,411.0,1269.0,-553.0,-3552.0,-565.0,551.0,66.0,1970.0
2044.0,1204.0,7.0,153.0,1948.0,25.0,66.0,215.0,10.0,69.0,404.0,11.0,97.0,38.0,5.0,16.0,3808.0,58.0,401.0,4267.0,2095.0,336.0,-10618.0,-370.0,658.0,947.0,413.0,1295.0,-591.0,-3867.0,-628.0,564.0,62.0,1948.0
2045.0,1185.0,6.0,152.0,1927.0,24.0,61.0,202.0,10.0,67.0,400.0,11.0,96.0,30.0,4.0,15.0,3743.0,56.0,391.0,4190.0,2138.0,322.0,-11084.0,-424.0,673.0,967.0,415.0,1321.0,-628.0,-4182.0,-692.0,576.0,58.0,1927.0
2046.0,1166.0,5.0,152.0,1905.0,23.0,55.0,190.0,10.0,65.0,396.0,11.0,95.0,22.0,4.0,13.0,3678.0,54.0,380.0,4112.0,2182.0,309.0,-11551.0,-478.0,688.0,987.0,418.0,1347.0,-666.0,-4498.0,-755.0,589.0,54.0,1905.0
2047.0,1146.0,4.0,151.0,1883.0,23.0,50.0,177.0,10.0,63.0,393.0,11.0,94.0,14.0,4.0,12.0,3613.0,51.0,369.0,4034.0,2225.0,296.0,-12017.0,-532.0,703.0,1007.0,420.0,1373.0,-704.0,-4813.0,-819.0,602.0,50.0,1883.0
2048.0,1127.0,3.0,150.0,1862.0,22.0,44.0,165.0,10.0,61.0,389.0,11.0,94.0,6.0,4.0,11.0,3548.0,49.0,359.0,3956.0,2268.0,283.0,-12483.0,-586.0,718.0,1026.0,423.0,1399.0,-741.0,-5128.0,-882.0,614.0,46.0,1862.0
2049.0,1108.0,2.0,149.0,1840.0,21.0,39.0,152.0,9.0,59.0,385.0,10.0,93.0,-2.0,4.0,9.0,3483.0,47.0,348.0,3878.0,2311.0,269.0,-12949.0,-639.0,734.0,1046.0,425.0,1425.0,-779.0,-5443.0,-946.0,627.0,42.0,1840.0
2050.0,1089.0,1.0,148.0,1818.0,20.0,33.0,139.0,9.0,56.0,381.0,10.0,92.0,-10.0,4.0,8.0,3418.0,45.0,337.0,3800.0,2354.0,256.0,-13416.0,-693.0,749.0,1066.0,428.0,1450.0,-816.0,-5758.0,-1009.0,639.0,38.0,1818.0
