,bangkal,bel-air,carmona,cembo,comembo,dasmarinas,eastrembo,forbespark,guadalupenuevo,guadalupeviejo,kasilawan,lapaz,magallanes,olympia,palanan,pembo,pinagkaisahan,piodelpilar,pitogo,poblacion,postpropernorth,postpropersouth,rizal,sanantonio,sanisidro,sanlorenzo,santacruz,singkamas,southcembo,tejeros,urdaneta,valenzuela,westrembo
2029,2577,64,246,3255,93,370,1181,26,186,647,19,147,478,9,81,7813,210,1030,9053,-506,1320,-4053,-204,928,1128,308,2161,-822,-3864,-751,985,186,1030
2030,2624,65,250,3284,95,376,1208,26,189,653,19,148,487,9,82,7908,215,1044,9166,-568,1351,-4470,-276,967,1171,306,2247,-893,-4354,-856,1027,189,1044
2031,2671,67,253,3312,98,382,1236,27,191,659,19,149,497,9,84,8002,219,1059,9280,-629,1381,-4887,-348,1006,1214,303,2333,-964,-4843,-961,1068,191,1059
2032,2718,68,257,3341,100,388,1263,27,194,665,20,150,506,9,85,8097,223,1073,9393,-691,1412,-5304,-419,1045,1258,300,2418,-1034,-5333,-1065,1110,194,1073
2033,2764,70,260,3370,102,394,1291,28,197,671,20,151,515,9,86,8191,228,1088,9506,-753,1442,-5721,-491,1084,1301,297,2504,-1105,-5822,-1170,1152,197,1088
2034,2811,71,263,3398,104,400,1318,28,199,677,20,152,525,9,88,8286,232,1102,9620,-815,1473,-6138,-563,1123,1344,294,2589,-1176,-6312,-1274,1194,199,1102
2035,2858,72,267,3427,106,406,1346,29,202,683,20,153,534,9,89,8380,236,1117,9733,-877,1503,-6555,-634,1162,1387,291,2675,-1247,-6801,-1379,1236,202,1117
2036,2905,74,270,3456,108,412,1373,29,204,689,20,155,544,9,90,8475,241,1131,9847,-939,1534,-6972,-706,1201,1430,288,2761,-1317,-7291,-1484,1277,204,1131
2037,2952,75,274,3484,111,418,1401,30,207,695,21,156,553,9,91,8569,245,1146,9960,-1001,1565,-7389,-777,1240,1473,285,2846,-1388,-7780,-1588,1319,207,1146
2038,2999,77,277,3513,113,424,1429,30,209,700,21,157,562,9,93,8664,250,1160,10074,-1063,1595,-7806,-849,1279,1517,283,2932,-1459,-8270,-1693,1361,209,1160
2039,3046,78,281,3541,115,430,1456,31,212,706,21,158,572,9,94,8759,254,1175,10187,-1125,1626,-8224,-921,1318,1560,280,3017,-1530,-8759,-1798,1403,212,1175
2040,3093,80,284,3570,117,436,1484,31,215,712,21,159,581,9,95,8853,258,1189,10301,-1187,1656,-8641,-992,1357,1603,277,3103,-1601,-9248,-1902,1445,215,1189
2041,3140,81,288,3599,119,442,1511,32,217,718,22,160,591,9,97,8948,263,1204,10414,-1249,1687,-9058,-1064,1396,1646,274,3188,-1671,-9738,-2007,1487,217,1204
2042,3187,82,291,3627,121,448,1539,32,220,724,22,161,600,9,98,9042,267,1218,10527,-1311,1717,-9475,-1135,1435,1689,271,3274,-1742,-10227,-2111,1528,220,1218
2043,3233,84,295,3656,124,454,1566,33,222,730,22,162,609,9,99,9137,271,1233,10641,-1373,1748,-9892,-1207,1474,1732,268,3360,-1813,-10717,-2216,1570,222,1233
2044,3280,85,298,3684,126,460,1594,33,225,736,22,164,619,9,100,9231,276,1247,10754,-1435,1779,-10309,-1279,1513,1776,265,3445,-1884,-11206,-2321,1612,225,1247
2045,3327,87,302,3713,128,466,1621,34,227,742,22,165,628,9,102,9326,280,1262,10868,-1497,1809,-10726,-1350,1552,1819,263,3531,-1955,-11696,-2425,1654,227,1262
2046,3374,88,305,3742,130,472,1649,34,230,748,23,166,637,9,103,9420,284,1276,10981,-1559,1840,-11143,-1422,1591,1862,260,3616,-2025,-12185,-2530,1696,230,1276
2047,3421,90,309,3770,132,478,1676,35,233,754,23,167,647,9,104,9515,289,1291,11095,-1621,1870,-11560,-1494,1630,1905,257,3702,-2096,-12675,-2634,1737,233,1291
2048,3468,91,312,3799,135,484,1704,35,235,760,23,168,656,9,106,9610,293,1305,11208,-1683,1901,-11977,-1565,1669,1948,254,3788,-2167,-13164,-2739,1779,235,1305
2049,3515,92,316,3828,137,490,1731,36,238,765,23,169,666,9,107,9704,298,1320,11321,-1745,1931,-12394,-1637,1708,1991,251,3873,-2238,-13654,-2844,1821,238,1320
2050,3562,94,319,3856,139,496,1759,36,240,771,24,170,675,10,108,9799,302,1334,11435,-1807,1962,-12811,-1708,1747,2035,248,3959,-2309,-14143,-2948,1863,240,1334
